# subtask-1 listing — status: decomposed | in-progress
# generated: 2026-04-18T12:58:40Z
# task: 788-758-subtask-1-status (parent chain: 730-717-status-done-edit)

## Summary
- decomposed: 141
- in-progress: 0

## Files

### 473-469-graphviewcontainer-wheel-pointer-handler.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/610-595-verify-report.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 595-582-subtask
  depends: subtask-1, subtask-2, subtask-3
  summary: 検証結果サマリを verify-report としてコミット

### 616-593-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/616-593-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 593-585-subtask
  depends: none
  summary: subtask

### 617-593-594-585-done.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/617-593-594-585-done.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 593-585-subtask
  depends: none
  summary: 親タスク594-585のdone遷移を検証し本タスクをクローズ

### 619-600-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/619-600-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 600-590-graphviewcontainer-ts-8597
  depends: 618-600-graphviewcontainer-ts-lint-test
  summary: GraphViewContainer.ts 行数検証結果を空コミットで記録

### 621-606-graphviewcontainer-ts-issue.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/621-606-graphviewcontainer-ts-issue.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 606-596-issue
  depends: none
  summary: GraphViewContainer.ts 行数確認と次issue番号決定

### 623-607-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/623-607-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 607-595-graphviewcontainer-ts-8597
  depends: none
  summary: subtask

### 624-607-4-god-object.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/624-607-4-god-object.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 607-595-graphviewcontainer-ts-8597
  depends: none
  summary: 4つのGod Object ファイルの行数を計測し上限と照合

### 625-609-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/625-609-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 609-595-graphviewcontainer-ts
  depends: none
  summary: subtask

### 626-609-graphviewcontainer-pass-fail.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/626-609-graphviewcontainer-pass-fail.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 609-595-graphviewcontainer-ts
  depends: none
  summary: GraphViewContainer関連ユニットテストを実行しPASS/FAILを報告

### 627-609-graphviewcontainer.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/627-609-graphviewcontainer.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 609-595-graphviewcontainer-ts
  depends: subtask-1
  summary: GraphViewContainerカバレッジをラチェット閾値と照合

### 627-609-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/627-609-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 609-595-graphviewcontainer-ts
  depends: none
  summary: subtask

### 629-617-594-done-graphviewcontainer-ts.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/629-617-594-done-graphviewcontainer-ts.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 617-593-594-585-done
  depends: none
  summary: 親タスク594のdone確認とGraphViewContainer.ts行数検証

### 630-617-claude-md-max-allowed-ratchet-down-issue.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/630-617-claude-md-max-allowed-ratchet-down-issue.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 617-593-594-585-done
  depends: subtask-1
  summary: CLAUDE.md のMax Allowedをratchet down更新し、本issueをdoneに遷移してコミット

### 630-617-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/630-617-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 617-593-594-585-done
  depends: none
  summary: subtask

### 631-617-pnpm-lint-pnpm-test.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/631-617-pnpm-lint-pnpm-test.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 617-593-594-585-done
  depends: subtask-2
  summary: pnpm lint と pnpm test で親タスクの成果を検証

### 635-624-4-god-object-wc-l.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/635-624-4-god-object-wc-l.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 624-607-4-god-object
  depends: none
  summary: 4つのGod Objectファイルの行数を wc -l で計測

### 636-624-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/636-624-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 624-607-4-god-object
  depends: none
  summary: subtask

### 639-607-memory-md.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/639-607-memory-md.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 607-597-subtask
  depends: subtask-2
  summary: 検証結果を MEMORY.md 該当ブロックへ反映

### 639-626-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/639-626-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 626-609-graphviewcontainer-pass-fail
  depends: none
  summary: subtask

### 649-630-claude-md-ratchet-down-issue-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/649-630-claude-md-ratchet-down-issue-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 630-617-claude-md-max-allowed-ratchet-down-issue
  depends: none
  summary: CLAUDE.md ratchet down + issue done遷移 + git mv + commit

### 650-630-claude-md-max-allowed-ratchet-down-issue.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/650-630-claude-md-max-allowed-ratchet-down-issue.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 630-617-claude-md-max-allowed-ratchet-down-issue
  depends: subtask-1 (617-593-594-585-done の subtask-1 で緑確認済みが前提)
  summary: CLAUDE.md の Max Allowed を ratchet down 更新し、本issueを done へ遷移して単一コミット

### 650-630-claude-md-ratchet-down-issue-done-1.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/650-630-claude-md-ratchet-down-issue-done-1.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 630-617-claude-md-max-allowed-ratchet-down-issue
  depends: subtask-1 (親issueの594-585検証サブタスク)
  summary: 行数を再確認しCLAUDE.md ratchet-down + issue done遷移を1コミット

### 654-635-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/654-635-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 635-624-4-god-object-wc-l
  depends: none
  summary: subtask

### 658-639-subtask-issue-status-done.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/658-639-subtask-issue-status-done.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 639-626-subtask
  depends: subtask-2
  summary: subtask issueのstatusをdoneに更新しコミット

### 660-649-graphviewcontainer-ts-claude-md-ratchet.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/660-649-graphviewcontainer-ts-claude-md-ratchet.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 649-630-claude-md-ratchet-down-issue-done-git-mv
  depends: 594-585-subtask-1
  summary: GraphViewContainer.ts の行数を測定し CLAUDE.md ratchet down + issue done遷移 + git mv + 1コミット

### 662-658-subtask-issue-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/662-658-subtask-issue-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 658-639-subtask-issue-status-done
  depends: none
  summary: subtask issue ファイルを done に更新し git mv でコミット

### 664-662-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/664-662-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 662-658-subtask-issue-done-git-mv
  depends: none
  summary: 639-626 subtask issue ファイルを status:done 化して git mv でコミット

### 667-663-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/667-663-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 663-660-graphviewcontainer-ts-claude-md-ratchet
  depends: none
  summary: subtask

### 668-663-graphviewcontainer-ts-claude-md-ratchet.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/668-663-graphviewcontainer-ts-claude-md-ratchet.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 663-660-graphviewcontainer-ts-claude-md-ratchet
  depends: none
  summary: GraphViewContainer.ts行数測定後 CLAUDE.md ratchet down + 617-593-594-585 issue done遷移を1コミットで実行

### 669-619-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/669-619-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 619-600-subtask
  depends: none
  summary: subtask

### 675-627-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/675-627-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 627-609-subtask
  depends: none
  summary: subtask

### 678-664-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/678-664-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 664-662-639-626-subtask-issue-status-done-git-mv
  depends: none
  summary: 639-626 subtask issue を status:done 化して git mv でコミット

### 684-639-subtask-2-pass-fail.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/684-639-subtask-2-pass-fail.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 639-607-memory-md
  depends: none
  summary: subtask-2 の検証結果を読み取り PASS/FAIL を判定

### 690-687-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/690-687-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 687-678-639-626-subtask-issue-status-done-git-mv
  depends: none
  summary: 639-626 subtask issueをstatus:done化してgit mvコミット

### 691-662-subtask-status-done.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/691-662-subtask-status-done.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 662-658-subtask-issue-done-git-mv
  depends: none
  summary: 対象 subtask ファイル特定と status を done に書き換え

### 694-650-graphviewcontainer-ts-claude-md-ratchet.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/694-650-graphviewcontainer-ts-claude-md-ratchet.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 650-630-claude-md-ratchet-down-issue-done-1
  depends: none
  summary: GraphViewContainer.ts行数再確認 → CLAUDE.md ratchet-down → issue done遷移を1コミット

### 699-678-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/699-678-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 678-664-639-626-subtask-issue-status-done-git-mv
  depends: none
  summary: 639-626 subtask issue を status:done 化して git mv でコミット

### 701-669-618.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/701-669-618.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 669-619-subtask
  depends: none
  summary: 618完了記録用の空コミットを作成

### 702-691-edit-status.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/702-691-edit-status.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 691-662-subtask-status-done
  depends: 701-691-glob-read
  summary: frontmatter status を done に書き換え

### 704-694-graphviewcontainer-claude-md-ratchet-dow.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/704-694-graphviewcontainer-claude-md-ratchet-dow.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 694-650-graphviewcontainer-ts-claude-md-ratchet
  depends: none
  summary: GraphViewContainer行数再確認→CLAUDE.md ratchet-down→issue done遷移を1コミット

### 712-699-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/712-699-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 699-678-639-626-subtask-issue-status-done-git-mv
  depends: none
  summary: 639-626 subtask issue を status:done 化して git mv でコミット

### 714-704-graphviewcontainer-claude-md-ratchet-617.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/714-704-graphviewcontainer-claude-md-ratchet-617.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 704-694-graphviewcontainer-claude-md-ratchet-dow
  depends: none
  summary: GraphViewContainer行数再確認→CLAUDE.md ratchet→617-593-594-585 issue done遷移を1コミット

### 715-704-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/715-704-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 704-694-graphviewcontainer-claude-md-ratchet-dow
  depends: none
  summary: subtask

### 717-691-status-done-edit.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/717-691-status-done-edit.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 691-662-subtask-status-done
  depends: subtask-1
  summary: 特定ファイルの status を done に Edit

### 719-702-frontmatter-status-done-edit.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/719-702-frontmatter-status-done-edit.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 702-691-edit-status
  depends: 701-691-glob-read
  summary: frontmatter の status フィールドのみを done に Edit

### 721-702-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/721-702-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 702-691-edit-status
  depends: none
  summary: subtask

### 723-712-639-626-subtask-issue-status-done-git-mv.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/723-712-639-626-subtask-issue-status-done-git-mv.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 712-699-639-626-subtask-issue-status-done-git-mv
  depends: none
  summary: 639-626 subtask issue を status:done 化して git mv で単一コミット

### 725-714-graphviewcontainer-claude-md-ratchet-617.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/725-714-graphviewcontainer-claude-md-ratchet-617.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 714-704-graphviewcontainer-claude-md-ratchet-617
  depends: none
  summary: GraphViewContainer行数再確認→CLAUDE.md ratchet→617-593-594-585 done遷移を1コミット

### 727-715-graphviewcontainer-ratchet-issue-done.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/727-715-graphviewcontainer-ratchet-issue-done.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 715-704-subtask
  depends: none
  summary: GraphViewContainer ratchet + 親issue done化 + 単一コミット

### 729-717-read-frontmatter.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/729-717-read-frontmatter.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 717-691-status-done-edit
  depends: none
  summary: 対象ファイルを Read して frontmatter を検証

### 730-717-status-done-edit.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/730-717-status-done-edit.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 717-691-status-done-edit
  depends: subtask-1
  summary: status フィールドを done に Edit し、差分を検証

### 731-717-read-git-status.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/731-717-read-git-status.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 717-691-status-done-edit
  depends: subtask-2
  summary: 再 Read と git status で差分検証

### 733-719-issue-frontmatter-read-status.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/733-719-issue-frontmatter-read-status.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 719-702-frontmatter-status-done-edit
  depends: none
  summary: 対象 issue ファイルの frontmatter を Read して現在の status 値を特定

### 745-725-issue-617-593-594-585-subtask-1.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/745-725-issue-617-593-594-585-subtask-1.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 725-714-graphviewcontainer-claude-md-ratchet-617
  depends: none
  summary: 親issue 617-593-594-585 subtask-1 完了コミットの存在を検証

### 746-725-graphviewcontainer-ts-claude-md-god-obje.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/746-725-graphviewcontainer-ts-claude-md-god-obje.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 725-714-graphviewcontainer-claude-md-ratchet-617
  depends: subtask-1
  summary: GraphViewContainer.ts の行数と CLAUDE.md の GOD OBJECT Policy 表を照合

### 755-729-read-frontmatter.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/755-729-read-frontmatter.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 729-717-read-frontmatter
  depends: subtask-1
  summary: ターゲットファイルを Read して frontmatter 必須フィールド存在確認

### 756-729-status-done-no-op.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/756-729-status-done-no-op.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 729-717-read-frontmatter
  depends: subtask-2
  summary: status 値を判定し done なら no-op 終了フラグを立てる

### 758-730-status-done-edit.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/758-730-status-done-edit.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 730-717-status-done-edit
  depends: subtask-1 (parent chain)
  summary: status フィールドを done に Edit で置換

### 759-730-edit-read-frontmatter.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/759-730-edit-read-frontmatter.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 730-717-status-done-edit
  depends: subtask-1
  summary: Edit 後に Read で frontmatter と本文の完全性を検証

### 760-730-git-status-short-modified.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/760-730-git-status-short-modified.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 730-717-status-done-edit
  depends: subtask-2
  summary: git status --short で modified マークを確認

### 762-731-edit-read-status-done.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/762-731-edit-read-status-done.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 731-717-read-git-status
  depends: none
  summary: Edit後のファイル再Readでstatus: done確認

### 763-731-git-diff-status.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/763-731-git-diff-status.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 731-717-read-git-status
  depends: subtask-1
  summary: git diff で status 行のみの変更を検証

### 764-731-git-status-short-modified-1.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/764-731-git-status-short-modified-1.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 731-717-read-git-status
  depends: subtask-2
  summary: git status --short で modified 1件のみ確認

### 766-733-issue-read-frontmatter.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/766-733-issue-read-frontmatter.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 733-719-issue-frontmatter-read-status
  depends: none
  summary: 対象 issue ファイルを Read し frontmatter 領域を取得

### 769-760-git-status-short.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/769-760-git-status-short.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 760-730-git-status-short-modified
  depends: none
  summary: git status --short を実行し生出力を取得

### 771-760-.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/771-760-.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 760-730-git-status-short-modified
  depends: subtask-2
  summary: パイプライン次ステップ向け出力整形と完了
